,link,title,country,region,date,lead_par
487,https://www.theguardian.com/world/2022/mar/01/ukraine-president-volodymyr-zelenskiy-plea-to-eu-prove-that-you-are-with-us,Ukraine president’s plea to EU: prove that you are with us,Ukraine,N/A,2022-03-01T14:09:19Z,Volodymyr Zelenskiy in passionate videolink address to European parliament amid Russian invasion
488,https://www.theguardian.com/world/2022/mar/01/ask-our-reporters-what-do-you-want-to-know-about-ukraine,Ask our reporters: what do you want to know about Ukraine?,Ukraine,N/A,2022-03-01T12:27:05Z,If you want to ask a question about Russia’s invasion of Ukraine  please get in touch here 
489,https://www.theguardian.com/world/2022/apr/14/as-russia-continues-to-bomb-ukraine-are-its-weapons-of-choice-getting-worse,As Russia continues to bomb Ukraine are its weapons of choice getting worse?,Ukraine,N/A,2022-04-14T05:28:39Z,Analysis: Russia’s indiscriminate use of weaponry has already led to high numbers of civilian deaths
490,https://www.theguardian.com/commentisfree/2022/mar/07/syria-afghanistan-ukraine-refugees-crisis-turkey,Syria Afghanistan Ukraine: how many refugee crises can the world cope with? | Anushka Asthana,Ukraine,N/A,2022-03-07T17:05:24Z,On the borders of Turkey  a six-metre high wall in the snow is holding back a tide of people desperate to find a haven from tyranny
491,https://www.theguardian.com/politics/2022/feb/28/vacant-and-vicious-priti-patels-tone-deaf-problem-with-ukraine-refugees,Vacant and vicious: Priti Patel’s tone-deaf problem with Ukraine refugees,Ukraine,N/A,2022-02-28T20:18:24Z,Home secretary gives Commons a conflicting account of UK’s handling of refugee crisis
492,https://www.theguardian.com/world/2022/mar/07/ukraine-war-russia-what-we-know-so-far-day-12-russian-invasion,Ukraine war: what we know on day 12 of the Russian invasion,Ukraine,N/A,2022-03-07T13:32:58Z,Moscow refugee corridors proposals described as ‘immoral’  while Mariupol struggles with supplies shortages
493,https://www.theguardian.com/politics/2022/feb/19/foreign-office-it-issues-hampering-uks-response-to-ukraine-crisis-say-insiders,Foreign Office IT issues hampering UK’s response to Ukraine crisis say insiders,Ukraine,N/A,2022-02-19T07:00:29Z,‘Chaos’ caused by failure to combine two computer systems after departments merged  sources claim
494,https://www.theguardian.com/world/2022/feb/12/russia-ukraine-what-does-putin-want,The edge of war: what exactly does Putin want in Ukraine?,Ukraine,N/A,2022-02-12T17:07:12Z,The massive military buildup could be a bluff  or a political ploy designed for a Russian audience. Either way  the US is digging in
495,https://www.theguardian.com/business/2022/mar/28/iceland-reverts-to-palm-oil-with-regret-as-ukraine-war-hits-food-prices,Iceland reverts to palm oil ‘with regret’ as Ukraine war hits food prices,Ukraine,N/A,2022-03-28T18:25:26Z,Supermarket boss says only alternative would be ‘to clear our freezers and shelves of a wide range of staples’
496,https://www.theguardian.com/world/2022/feb/18/russia-has-amassed-up-to-190000-troops-on-ukraine-borders-us-warns,Russia has amassed up to 190000 troops on Ukraine borders US warns,Ukraine,N/A,2022-02-18T18:08:07Z,Country says Russia undertaking the ‘biggest mobilisation of troops since the second world war’
497,https://www.theguardian.com/world/2022/mar/28/russia-ukraine-war-what-we-know-on-day-33-of-the-russian-invasion,Russia-Ukraine war: what we know on day 33 of the Russian invasion,Ukraine,N/A,2022-03-28T11:20:14Z,Russia and Ukraine to hold fresh talks; Ukrainian military claims Russian troops withdrawn from around Kyiv after heavy losses
498,https://www.theguardian.com/us-news/2022/mar/28/first-thing-zelenskiy-says-ukraine-is-willing-to-discuss-neutrality-at-russia-talks,Zelenskiy says Ukraine willing to discuss neutrality | First Thing,Ukraine,N/A,2022-03-28T10:08:22Z,Talks to start in Turkey as Ukraine president seeks peace ‘without delay’. Plus  drama at the Oscars as Will Smith attacks Chris Rock on stage
499,https://www.theguardian.com/world/2022/mar/22/russia-ukraine-war-what-we-know-on-day-27-of-the-invasion,Russia-Ukraine war: what we know on day 27 of the invasion,Ukraine,N/A,2022-03-22T11:57:47Z,Russian forces inside besieged Mariupol as 300 000 people in Kherson said to be running out of food
500,https://www.theguardian.com/world/2022/feb/28/weapons-from-the-west-vital-if-ukraine-is-to-halt-russian-advance,Weapons from the west vital if Ukraine is to halt Russian advance,Ukraine,N/A,2022-02-28T19:42:28Z,Analysis: previously there has been a reluctance to supply arms to the under-siege state  but that appears to be changing
501,https://www.theguardian.com/world/2022/apr/12/ukraine-president-warns-of-new-stage-of-terror-as-west-probes-chemical-weapons-claims,Ukraine president warns of ‘new stage of terror’ as west probes chemical weapons claims,Ukraine,N/A,2022-04-12T04:32:34Z,Volodymyr Zelenskiy taking chemical weapons threat ‘seriously’ as Mariupol mayor says thousands have died in devastated port city
502,https://www.theguardian.com/world/2022/feb/24/airstrikes-dawn-russia-begins-war-aggression-with-ukraine-vladimir-putin,Airstrikes at dawn as Russia begins ‘war of aggression’ with Ukraine,Ukraine,N/A,2022-02-24T19:24:59Z,Ukrainians react with defiance as Vladimir Putin launches biggest attack by one European state against another since second world war
