,title,url,lead_par,date,country,region
1633,"Further sanctions against Moscow could raise energy bills for UK firms",https://www.theguardian.com/business/2022/feb/22/further-sanctions-against-moscow-could-raise-energy-bills-for-uk-businesses,"Gazprom Energy a subsidiary of Russia’s state owned gas and oil giant accounts for about 20.8% of the UK business market",2022-02-22T19:36:47Z,Russia,None
1634,"Johnson-Putin call rescheduled as PM’s diplomacy drive falters",https://www.theguardian.com/politics/2022/feb/01/boris-johnson-rebuffed-in-bid-to-play-key-role-in-ukraine-diplomacy,"PM had to cancel original call because of partygate statement",2022-02-01T14:22:11Z,Russia,None
1635,"‘I left everything’: Tens of thousands of Ukrainians seek safety in neighbouring Poland ",https://www.theguardian.com/world/2022/feb/28/i-left-everything-tens-of-thousands-of-ukrainians-seek-safety-in-neighbouring-poland,"Poland is facing what could become Europe’s largest wave of refugees since the second world war",2022-02-28T18:31:45Z,Russia,None
1636,"It’s time to confront the Trump-Putin nexus | Rebecca Solnit",https://www.theguardian.com/commentisfree/2022/mar/02/time-to-confront-trump-putin-network,"A stunning number of Trump’s closest associates had deep ties to the Kremlin. The significance of this cannot be overstated",2022-03-02T11:22:37Z,Russia,None
1637,"Russian painting vandalised by ‘bored’ gallery guard who drew eyes on it",https://www.theguardian.com/artanddesign/2022/feb/10/russian-painting-vandalised-by-bored-gallery-guard-who-drew-eyes-on-it,"Anna Leporskaya’s Three Figures sent for restoration after guard doodled on it with a ballpoint pen on his first day",2022-02-10T03:44:37Z,Russia,None
1638,"‘A necessary war’: reporting on the Ukraine ‘disagreement’ outside the west",https://www.theguardian.com/world/2022/mar/11/a-necessary-war-reporting-on-the-ukraine-disagreement-outside-the-west,"Venezuela says Putin is a victim China blames the US and a South African pundit calls out western hypocrisy",2022-03-11T00:30:16Z,Russia,None
1639,"‘Everyone was fighting to get on a train’: the desperation of Ukrainians trying to reach safety",https://www.theguardian.com/world/2022/feb/27/its-been-terrible-the-plight-of-ukrainians-hoping-to-reach-safety,"The railway station in Lviv near the Polish border is overwhelmed with requests but has almost no tickets",2022-02-27T21:55:44Z,Russia,None
1640,"UK considers banning Russian ships from British ports",https://www.theguardian.com/business/2022/feb/27/uk-considers-banning-russian-ships-from-british-ports,"The NS Champion oil tanker majority-owned by the Russian state is due to berth in Orkney on Tuesday",2022-02-27T20:27:11Z,Russia,None
1641,"‘It’s stomach-turning’: the children caught up in Ukraine war",https://www.theguardian.com/world/2022/feb/27/children-caught-up-in-ukraine-war,"Mothers and babies take shelter in hospital bunkers as Russian invasion claims lives of up to 10 children",2022-02-27T18:35:09Z,Russia,None
1642,"The Guardian view on Britain and Ukraine: play our part | Editorial",https://www.theguardian.com/commentisfree/2022/feb/24/the-guardian-view-on-britain-and-ukraine-play-our-part,"Russia’s invasion requires the UK to mend its fences with the EU and become a team player in Europe",2022-02-24T18:59:58Z,Russia,None
1643,"Ukraine agrees to peace talks ‘without preconditions’ Putin puts nuclear forces on high alert: what we know so far",https://www.theguardian.com/world/2022/feb/27/russian-banks-excluded-from-swift-what-we-know-so-far,"Russian media says two sides will meet in Belarus as Ukraine claims it has repelled attempt to seize Kharkiv",2022-02-27T13:49:13Z,Russia,None
1644,"‘We have the entire world here’: Polish hostel taking in foreigners from Ukraine",https://www.theguardian.com/global-development/2022/mar/21/poland-ukraine-refugees-entire-world-hostel-everyone-welcome,"Nearly 2 million people have fled the Russian invasion of Ukraine to Poland but for non-Ukrainians the reception can be uncertain",2022-03-21T08:15:19Z,Russia,None
1645,"Morning mail: aged care worker crisis US boosts Europe troops spy agencies clash over Wordle",https://www.theguardian.com/australia-news/2022/feb/03/morning-mail-aged-care-worker-crisis-us-boosts-europe-troops-spy-agencies-clash-over-wordle,"Thursday: Tens of thousands of shifts at aged care facilities are going unfilled amid the Omicron outbreak. Plus: Wordle craze frustrates top intelligence chief",2022-02-02T19:55:30Z,Russia,None
1646,"Zaghari-Ratcliffe and Anoosheh Ashoori could be free in days",https://www.theguardian.com/news/2022/mar/15/zaghari-ratcliffe-and-anoosheh-ashoori-could-be-free-in-days,"Possible deal to release pair involves agreement by UK to repay £400m debt according to Iranian sources",2022-03-15T20:07:31Z,Russia,None
1647,"Further sanctions against Moscow could raise energy bills for UK firms",https://www.theguardian.com/business/2022/feb/22/further-sanctions-against-moscow-could-raise-energy-bills-for-uk-businesses,"Gazprom Energy a subsidiary of Russia’s state owned gas and oil giant accounts for about 20.8% of the UK business market",2022-02-22T19:36:47Z,Russia,None
1648,"‘I left everything’: Tens of thousands of Ukrainians seek safety in neighbouring Poland ",https://www.theguardian.com/world/2022/feb/28/i-left-everything-tens-of-thousands-of-ukrainians-seek-safety-in-neighbouring-poland,"Poland is facing what could become Europe’s largest wave of refugees since the second world war",2022-02-28T18:31:45Z,Russia,None
