,link,title,country,region,date,lead_par
664,https://www.theguardian.com/world/2022/feb/25/nato-deploy-extra-troops-eastern-europe-ukraine-russia-war,Nato to deploy extra troops to alliance nations in eastern Europe,Russia,N/A,2022-02-25T18:51:41Z,Forces not being sent to Ukraine itself to avoid ‘existential’ war with Russia  say UK ministers
665,https://www.theguardian.com/world/2022/mar/06/france-accuse-uk-lack-humanity-over-ukrainian-refugees-consular-services-calais,France accuses UK of ‘lack of humanity’ over Ukrainian refugees,Russia,N/A,2022-03-06T13:21:04Z,French interior minister writes to Priti Patel urging government to set up proper consular services in Calais
666,https://www.theguardian.com/business/nils-pratley-on-finance/2022/feb/24/easts-departure-from-rolls-royce-is-bad-timing-but-hes-done-well,East’s departure from Rolls-Royce is bad timing but he’s done well | Nils Pratley,Russia,N/A,2022-02-24T18:44:30Z,Choosing the day Russia invaded Ukraine to make his announcement sums up the chief’s tumultuous stint
667,https://www.theguardian.com/education/2022/mar/06/russians-at-uk-universities-lonely-and-guilty-as-they-fear-for-the-future,Russians at UK universities ‘lonely and guilty’ as they fear for the future,Russia,N/A,2022-03-06T10:45:50Z,Many studying here are anti-Putin  but still feel they’re being judged for the Kremlin’s actions
668,https://www.theguardian.com/politics/2022/mar/09/eu-imposes-travel-bans-asset-freezes-russians-oligarchs-putin,Russian F1 driver added to list of people sanctioned by EU,Russia,N/A,2022-03-09T15:06:01Z,Nikita Mazepin and billionaire previously linked to £300m London mansion among 160 people named
669,https://www.theguardian.com/world/2022/mar/05/germany-angela-merkel-power-to-vladimir-putin-russia,Germany agonises over Merkel’s legacy: did she hand too much power to Putin?,Russia,N/A,2022-03-05T15:00:26Z,The war in Ukraine has prompted criticism of former chancellor’s decisions on Nord Stream pipeline and Russia
670,https://www.theguardian.com/business/2022/mar/16/alexei-mordashov-russia-richest-man-may-have-avoided-freeze-on-1bn-tui-shares,Alexei Mordashov Russia’s richest man may have avoided freeze on £1bn Tui shares,Russia,N/A,2022-03-16T15:56:26Z,Alexei Mordashov sold most of 34% stake in world’s biggest tourism operator to firm in British Virgin Islands
671,https://www.theguardian.com/uk-news/2022/feb/12/uk-troops-sent-to-help-train-ukrainian-army-to-leave-country-this-weekend,UK troops sent to help train Ukrainian army to leave country,Russia,N/A,2022-02-12T11:38:44Z,Armed forces minister says personnel will withdraw after fears of ‘no-notice attack’ from Russia
672,https://www.theguardian.com/football/2022/feb/25/uefa-and-fifa-are-too-late-russias-sportswashing-has-served-its-purpose,Uefa and Fifa are too late: Russia’s sportswashing has served its purpose | Barney Ronay,Russia,N/A,2022-02-25T20:30:24Z,We have been expertly played by Vladimir Putin. Now he is raining death down on Ukraine  and sport has served its purpose in him being able to create this horrifying moment
673,https://www.theguardian.com/media/2022/mar/18/ukrainian-bioweapons-labs-qanon-fox-news,How ‘Ukrainian bioweapons labs’ myth went from QAnon fringe to Fox News,Russia,N/A,2022-03-18T07:00:51Z,A feedback loop involving Russia and Tucker Carlson is promoting claims of US funding for biological weapons in Ukraine
