,title,url,lead_par,date,region
39,"Officials said the redesign was an attempt to disassociate Taiwanese citizens from those on the mainland, who faced travel restrictions amid the pandemic.",https://www.nytimes.com/2021/01/11/world/asia/taiwan-new-passport.html,Taiwan on Monday released a new passport that puts a diplomatic spin on the concept of social distancing amid the pandemic.,2021-01-11T10:58:58+0000,Asia Pacific
40,"A sleepy island has become a base for the aircraft search and recovery operation after Sriwijaya Air Flight 182 fell from the sky. “I’m lucky it didn’t hit me,” said one fisherman.",https://www.nytimes.com/2021/01/11/world/asia/indonesia-plane-crash-fishermen.html,"LANCANG ISLAND, Indonesia — Hendrik Mulyadi was checking his crab traps when he heard a huge explosion on the water nearby. The sea suddenly rose, lifting the Indonesian fisherman’s boat as smoke filled the air.",2021-01-11T14:12:40+0000,Asia Pacific
41,"The turbulent region has long weathered violence and political strife, but India’s security crackdown and the coronavirus have brought life in the tourist-dependent region to a near halt.",https://www.nytimes.com/2021/01/11/world/asia/kashmir-india-tourism.html,"SRINAGAR, India — Habib Wangnoo scanned the silvery lake from the deck of his vacant houseboat hotel, remembering when he helped Mick Jagger out of a narrow, flat-bottomed canoe during the rock star’s 1981 visit to Kashmir.",2021-01-11T18:14:30+0000,Asia Pacific
42,Trump’s second impeachment.,https://www.nytimes.com/2021/01/11/briefing/trump-impeachment-indonesia-vaccine-boeing.html,Democrats in the House of Representatives initiated an effort to impeach President Trump for inciting a mob that attacked the Capitol last week. A vote on the measure could happen as early as Wednesday.,2021-01-11T19:51:40+0000,Asia Pacific
43,"A Chinese tech company designed a way to track employees’ health, but sensors were also monitoring when they were away from their desks, setting off a debate about privacy and surveillance.",https://www.nytimes.com/2021/01/12/world/asia/china-office-cushion-surveillance.html,"HONG KONG — A technology company in eastern China designed “smart” cushions and gave them to its employees for their office chairs as part of a product study. The cushions were supposed to monitor their health, note bad posture as a sign of possible fatigue, measure heart rates and tally minutes spent at work stations.",2021-01-12T09:43:24+0000,Asia Pacific
44,"The renminbi has reached its strongest level in more than two years, signaling Chinese dominance in manufacturing and giving President-elect Joe Biden breathing room.",https://www.nytimes.com/2021/01/12/business/china-renminbi-yuan-strong.html,"HONG KONG — China’s economy has come roaring back from the depths of the coronavirus pandemic, and its currency has joined the ride.",2021-01-12T10:00:20+0000,Asia Pacific
45,Farmers declared the temporary halt of market-oriented agriculture laws a “trick” to ease the pressure they have been putting on the government of Narendra Modi.,https://www.nytimes.com/2021/01/12/world/asia/india-farmers-protest-court-law.html,"NEW DELHI — The decision by India’s highest court on Tuesday to temporarily suspend the implementation of new farming laws at the center of huge protests appeared unlikely to end the weekslong showdown choking New Delhi, as protesting farmers declared the suspension a politically-motivated “trick” to ease the pressure on the government of Prime Minister Narendra Modi.",2021-01-12T10:11:56+0000,Asia Pacific
46,"The guidelines, published on a government website, have drawn a backlash from people who called them symbolic of anachronistic views in a patriarchal country.",https://www.nytimes.com/2021/01/12/world/asia/korea-pregnant-women-advice-seoul.html,"Before giving birth, check that your family has sufficient toilet paper. Prepare ready-made meals for your husband, who surely “is not good at cooking.” Tie up your hair, “so that you don’t look disheveled” even as you go without a bath. And after the baby arrives, keep a “small-size” dress in sight — you’ll need motivation not to take that extra bite.",2021-01-12T11:24:48+0000,Asia Pacific
47,The recovery of the so-called black box will help officials understand why Sriwijaya Air Flight 182 plummeted into the Java Sea on Saturday.,https://www.nytimes.com/2021/01/12/world/asia/indonesia-plane-crash-black-box.html,"Indonesian Navy divers have recovered the flight data recorder from Sriwijaya Air Flight 182, which crashed into the Java Sea shortly after takeoff on Saturday with 62 people aboard, officials said Tuesday.",2021-01-12T11:52:05+0000,Asia Pacific
48,Mr. Adelson drew a cornucopia of cash from his empire of casinos and resort hotels and poured money into right-wing causes.,https://www.nytimes.com/2021/01/12/business/sheldon-adelson-dead.html,"Sheldon G. Adelson, a cabdriver’s son who built the world’s largest empire of casinos and resort hotels in Las Vegas, Macau, Singapore and other gambling meccas and used his vast wealth to promote right-wing political agendas in America and Israel, died on Monday at his home in Malibu, Calif. He was 87.",2021-01-12T13:18:28+0000,Asia Pacific
