,title,url,lead_par,date,region
43, "Nations brace for wheat shortages due to war in Ukraine", https://www.upi.com/Top_News/World-News/2022/03/21/Ukraine-nations-brace-wheat-shortages-due-war-Ukraine/9201647897753/, "March 21 (UPI) -- The International Rescue Committee warned Monday that shortages of wheat due to the war in Ukraine, one of the world's largest exporters, will "drastically worsen" hunger levels.", March 21 2022, Ukraine
44, "White House warns Russia's exploring cyberattacks on critical U.S. businesses", https://www.upi.com/Top_News/US/2022/03/21/Biden-Russia-cyberattacks-critical-businesses/4741647895942/, "March 21 (UPI) -- The Biden administration warned Monday that Russia is mulling plans to launch cyberattacks against U.S. businesses and urged those operating critical infrastructure to beef up their defenses.", March 21 2022, Ukraine
45, "Fed chief Jerome Powell says more rate hikes may be needed to control inflation", https://www.upi.com/Top_News/US/2022/03/21/jerome-powell-inflation-economy/1071647882477/, "March 21 (UPI) -- Federal Reserve Board Chairman Jerome Powell vowed Monday to implement aggressive policy moves to tackle "much too high" inflation, including higher interest rate hikes, if necessary.", March 21 2022, Ukraine
46, "Kamala Harris names Phillip Gordon as national security adviser", https://www.upi.com/Top_News/US/2022/03/21/Kamala-Harris-national-security-adviser-replaced/2331647884808/, "March 21 (UPI) -- Vice President Kamala Harris announced on Monday she elevated deputy national security adviser Phillip Gordon, replacing her current adviser Nancy McEldowney.", March 21 2022, Ukraine
47, "Facebook, Instagram banned in Russia under 'extremism' law", https://www.upi.com/Top_News/World-News/2022/03/21/facebook-instagram-banned-russia-extremism-law/5511647883254/, "March 21 (UPI) -- Facebook and Instagram have now been completely banned in Russia under the country's "extremism" law just weeks after Russia blocked access to Meta's social media platforms.", March 21 2022, Ukraine
48, "Oil rush fueled by Russian invasion is 'madness,' U.N. chief Guterres says", https://www.upi.com/Top_News/World-News/2022/03/21/un-antonio-guterres-fossil-fuels-climate-coal/8921647875161/, "March 21 (UPI) -- United Nations Secretary-General Antonio Guterres said Monday that the oil rush fueled by Russia's war in Ukraine is "madness" that hurts global efforts to curtail climate change.", March 21 2022, Ukraine
49, "Kamala Harris tours Louisiana library, promotes Internet access program", https://www.upi.com/Top_News/US/2022/03/21/kamala-harris-louisiana-trip-broadband-internet/9501647869540/, "March 21 (UPI) -- Vice President Kamala Harris traveled to Louisiana Monday to promote efforts by President Joe Biden's administration to provide high-speed broadband Internet to rural and low-income American communities.", March 21 2022, Ukraine
50, "Several dead after Russian forces attack shopping mall in Ukraine's capital Kyiv", https://www.upi.com/Top_News/World-News/2022/03/21/ukraine-kyiv-mall-attack-russian-war/1281647867265/, "March 21 (UPI) -- Russian forces have targeted a shopping mall in the Ukrainian capital of Kyiv and the shelling killed several people, Ukrainian authorities said on Monday.", March 21 2022, Ukraine
51, "West owes Ukraine much more than arms and admiration", https://www.upi.com/Voices/2022/03/21/ukraine-Ukraine-West-Russia-Volodymyr-Zelensky/8141647864416/, "March 21 (UPI) -- The real trigger for the West's momentum has been the resistance of Ukraine's people, its armed forces and its president.", March 21 2022, Ukraine
52, "Ukraine President Zelensky thanks Mila Kunis, Ashton Kutcher for fundraiser", https://www.upi.com/Entertainment_News/2022/03/21/Ukraine-President-Mila-Kunis-fundraiser/8391647861122/, "March 21 (UPI) -- Ukraine President Volodymyr Zelensky thanked Mila Kunis and Ashton Kutcher for their Stand with Ukraine fundraiser through GoFundMe, which has raised nearly $35 million.", March 21 2022, Ukraine
